__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 17:28:11 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      2
Number of dimensions:     2
Interaction style:        Coulomb
Hamiltonian:              harmonic oscillator
Initial state:            random normal
Oscillator frequency:     1.000000


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                RBM-Gaussian
Element 1:                RBM-product
Basis:                    no basis
Initial parameters:       random uniform
Number of parameters:     14
Number of hidden nodes:   2
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 500
Number of MC cycles:      50000
Number of burn-in cycles: 50
Learning rate:            0.050000
Step length:              0.100000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             ADAM
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
112  3.21018399  0.00780567  0.98720449  0.05695276  1.02256028  0.05916186  1.20041922  0.13312173  0.99884000  0.03162360
113  3.25285603  0.00964317  1.00655844  0.05720122  1.00503219  0.05941488  1.24126541  0.13357963  0.99860000  0.03140759
114  3.21184073  0.01319620  0.97777426  0.05746138  1.03323094  0.05966585  1.20083553  0.13434554  0.99832000  0.03148770
115  3.25551873  0.00790117  1.02481243  0.05771042  0.98291364  0.05992618  1.24779266  0.13468571  0.99888000  0.03139544
116  3.22411282  0.00880299  0.95237303  0.05797872  1.05648697  0.06017240  1.21525282  0.13508949  0.99812000  0.03130031
117  3.23932227  0.00922843  0.97357509  0.05822378  1.03909562  0.06044600  1.22665156  0.13551476  0.99854000  0.03139687
118  3.21791961  0.00819611  0.96175585  0.05847760  1.04931130  0.06071440  1.20685246  0.13587437  0.99852000  0.03155112
119  3.27210242  0.00957191  1.01007908  0.05871362  1.00338708  0.06097248  1.25863627  0.13631948  0.99844000  0.03146458
120  3.25268003  0.01122824  0.99270416  0.05897101  1.01715220  0.06122023  1.24282368  0.13689800  0.99866000  0.03164411
121  3.32786157  0.06185988  0.99740888  0.05921589  1.00953751  0.06146557  1.32091519  0.15032930  0.99862000  0.03158808
122  3.27977165  0.01198860  1.01734013  0.05946274  0.99148546  0.06171004  1.27094606  0.15092342  0.99872000  0.03202152
123  3.18886139  0.00762108  0.97730036  0.05971652  1.03138168  0.06194771  1.18017936  0.15122322  0.99860000  0.03170180
124  3.20778794  0.00776398  0.98027621  0.05996366  1.03726535  0.06220624  1.19024638  0.15151567  0.99846000  0.03177285
125  3.28468655  0.01077656  1.01749995  0.06020018  0.98703272  0.06245404  1.28015389  0.15199243  0.99858000  0.03124547
126  3.21062759  0.00926053  0.99264331  0.06045008  1.01561474  0.06268660  1.20236953  0.15238256  0.99884000  0.03129339
127  3.27086531  0.01651617  0.98752840  0.06069288  1.01911176  0.06292806  1.26422515  0.15336998  0.99848000  0.03104687
128  3.20190808  0.00860297  0.95223192  0.06094037  1.06537295  0.06317940  1.18430320  0.15371632  0.99864000  0.03113413
129  3.27025623  0.00913631  1.01362542  0.06116572  0.99421421  0.06343460  1.26241660  0.15407959  0.99880000  0.03134084
130  3.23914754  0.01243486  0.98163920  0.06141321  1.03110663  0.06367018  1.22640172  0.15468480  0.99862000  0.03173494
131  3.23520341  0.01122702  1.00756560  0.06164281  1.00437104  0.06390906  1.22326678  0.15518981  0.99836000  0.03199220
132  3.21082792  0.00806146  0.96464654  0.06188864  1.04944380  0.06414752  1.19673758  0.15549634  0.99878000  0.03130603
133  3.24149831  0.00832299  1.00661108  0.06211162  1.00145284  0.06439034  1.23343439  0.15581179  0.99882000  0.03155160
134  3.23831844  0.00959231  0.96411027  0.06235360  1.04895613  0.06462408  1.22525204  0.15620523  0.99828000  0.03158736
135  3.21014243  0.00924999  0.98399266  0.06257957  1.03106312  0.06487049  1.19508665  0.15657591  0.99844000  0.03164554
136  3.23946987  0.00871619  0.96075322  0.06281712  1.05134273  0.06511624  1.22737391  0.15691035  0.99846000  0.03161049
137  3.21975469  0.00916474  0.96121550  0.06305075  1.06050991  0.06537296  1.19802928  0.15727537  0.99860000  0.03124213
138  3.23755044  0.00798763  1.00878453  0.06327307  1.01042328  0.06562082  1.21834262  0.15757074  0.99868000  0.03185987
